year,shelter_costs_owned,shelter_costs_rented
2001,846.8785714285714,1085.9357142857143
2006,1316.8,925.4142857142857
2011,1448.2142857142858,1019.7928571428571
2016,1761.3142857142857,1256.3214285714287
