neighbourhood,average_house_value
Bridle Path-Sunnybrook-York Mills,1526485.75
Forest Hill South,1195992.5
Lawrence Park South,1094027.75
Rosedale-Moore Park,1093640.0
St.Andrew-Windfields,999107.0
Casa Loma,981064.25
Bedford Park-Nortown,930415.25
Forest Hill North,851680.5
Kingsway South,843234.25
Yonge-St.Clair,813220.25
